0:	2.774091937239E-06
1:	4.902594839118E-06
2:	6.809308489142E-06
3:	8.929553254239E-06
4:	1.125029489948E-05
5:	1.326448623636E-05
6:	1.516731207577E-05
7:	1.687984174112E-05
8:	1.839597245699E-05
9:	2.007648644286E-05
10:	2.157145017249E-05
11:	2.324433050120E-05
12:	2.508083131766E-05
13:	2.638033932576E-05
14:	2.738563987772E-05
15:	2.862170562283E-05
16:	3.002154776569E-05
17:	3.160103599477E-05
18:	3.307671751072E-05
19:	3.430056551048E-05
20:	3.537577558728E-05
21:	3.661429558032E-05
22:	3.822020945090E-05
23:	4.004336018419E-05
24:	4.164298243347E-05
25:	4.292354275471E-05
26:	4.400498059908E-05
27:	4.520391499425E-05
28:	4.668005002655E-05
29:	4.826141602503E-05
30:	4.973090801570E-05
31:	5.097363848143E-05
32:	5.210287799564E-05
33:	5.330692272564E-05
34:	5.466619241992E-05
35:	5.609839325456E-05
36:	5.745573226561E-05
37:	5.866070059117E-05
38:	5.977624325244E-05
39:	6.093767076278E-05
40:	6.220705086581E-05
41:	6.353119640441E-05
42:	6.480106347368E-05
43:	6.595750985255E-05
44:	6.708660290275E-05
45:	6.831498799506E-05
46:	6.959696724257E-05
47:	7.090962732644E-05
48:	7.219804588784E-05
49:	7.342796344481E-05
50:	7.462562410947E-05
51:	7.583797798682E-05
52:	7.709203383582E-05
53:	7.837005412107E-05
54:	7.962483034423E-05
55:	8.083725883628E-05
56:	8.202498967555E-05
57:	8.322174212381E-05
58:	8.444697190539E-05
59:	8.568591791895E-05
60:	8.691093767571E-05
61:	8.810676033271E-05
62:	8.928314125637E-05
63:	9.046575863844E-05
64:	9.166769089177E-05
65:	9.287965929029E-05
66:	9.408157218551E-05
67:	9.526287939580E-05
68:	9.643220728830E-05
69:	9.760585745764E-05
70:	9.879211901288E-05
71:	9.998741869032E-05
72:	1.012031913901E-04
73:	1.024046834685E-04
74:	1.035989259599E-04
75:	1.047972704504E-04
76:	1.060071086089E-04
77:	1.072232290242E-04
78:	1.084348271695E-04
79:	1.096361083114E-04
80:	1.108315360734E-04
81:	1.120299132122E-04
82:	1.132353659102E-04
83:	1.144447197368E-04
84:	1.156509612682E-04
85:	1.168500020627E-04
86:	1.180443377295E-04
87:	1.192399825064E-04
88:	1.204405265844E-04
89:	1.216436072481E-04
90:	1.228439440717E-04
91:	1.240387652522E-04
92:	1.252301661244E-04
93:	1.264222840419E-04
94:	1.276170807224E-04
95:	1.288130380901E-04
96:	1.300069289026E-04
97:	1.311968173546E-04
98:	1.323838389059E-04
99:	1.335709155128E-04
100:	1.347641748067E-04
101:	1.359629678511E-04
102:	1.371602708139E-04
103:	1.383548158862E-04
104:	1.395476018605E-04
105:	1.407404960379E-04
106:	1.419344275437E-04
107:	1.431288884673E-04
108:	1.443226018744E-04
109:	1.455147307671E-04
110:	1.467056787320E-04
111:	1.478967313376E-04
112:	1.490887030777E-04
113:	1.502810768001E-04
114:	1.514726305649E-04
115:	1.526627053895E-04
116:	1.538518555454E-04
117:	1.550409922099E-04
118:	1.562304455472E-04
119:	1.574200006241E-04
120:	1.586089231112E-04
121:	1.597967280410E-04
122:	1.609836368654E-04
123:	1.621701364134E-04
